Φ.bytes.and,Φ.bytes
Φ.bytes.concat,Φ.bytes
Φ.bytes.eq,Φ.bool
Φ.bytes.not,Φ.bytes
Φ.bytes.or,Φ.bytes
Φ.bytes.right,Φ.bytes
Φ.bytes.size,Φ.number
Φ.bytes.slice,Φ.bytes
Φ.bytes.xor,Φ.bytes
Φ.fs.dir.made.mkdir,Φ.bool
Φ.fs.dir.tmpfile.touch,Φ.string
Φ.fs.dir.walk,Φ.tuple
Φ.fs.file.deleted.delete,Φ.bool
Φ.fs.file.exists,Φ.bool
Φ.fs.file.is-directory,Φ.bool
Φ.fs.file.moved.move,Φ.string
Φ.fs.file.open.file-stream.read.chunk,Φ.bytes
Φ.fs.file.open.file-stream.write.written-bytes,Φ.bool
Φ.fs.file.open.process-file,Φ.bool
Φ.fs.file.size,Φ.number
Φ.fs.file.touched.touch,Φ.bool
Φ.i16.as-i32,Φ.i32
Φ.i32.as-i64,Φ.i64
Φ.i64.as-number,Φ.number
Φ.i64.div,Φ.i64
Φ.i64.gt,Φ.bool
Φ.i64.plus,Φ.i64
Φ.i64.times,Φ.i64
Φ.malloc.of.φ,Φ.bytes
Φ.malloc.of.allocated.read,Φ.bytes
Φ.malloc.of.allocated.resized,Φ.malloc.of.allocated
Φ.malloc.of.allocated.size,Φ.number
Φ.malloc.of.allocated.write,Φ.bool
Φ.ms.angle.cos,Φ.number
Φ.ms.angle.sin,Φ.number
Φ.number.as-i64,Φ.i64
Φ.number.div,Φ.number
Φ.number.gt,Φ.bool
Φ.number.plus,Φ.number
Φ.number.times,Φ.number
Φ.sm.os.name,Φ.string
Φ.sm.posix.φ,Φ.return
Φ.sm.win32.φ,Φ.return
Φ.tt.regex.φ,Φ.tt.regex.pattern
Φ.tt.regex.pattern.match.matched-from-index,Φ.tt.regex.pattern.match.matched
